"","x"
"259",2305.14065374592
"260",2305.10677227391
"261",2305.03900932988
"262",2304.97124638585
"263",2304.90348344182
"264",2304.83572049779
"265",2304.66631313771
"266",2304.6324316657
"267",2304.59855019368
"268",2304.56466872167
"269",2304.53078724965
"270",2304.46302430562
"271",2304.42914283361
"272",2304.39526136159
"273",2304.32749841756
"274",2304.29361694554
"275",2304.25973547353
"276",2304.22585400152
"277",2304.1919725295
"278",2304.05644664144
"279",2304.02256516942
"280",2303.95480222539
"281",2303.88703928136
"282",2303.81927633733
"283",2303.71763192129
"284",2303.61598750524
"285",2303.54822456121
"286",2303.37881720114
"287",2303.34493572912
"288",2303.27717278509
"289",2303.20940984106
"290",2303.17552836905
"291",2303.10776542502
"292",2303.073883953
"293",2303.00612100897
"294",2302.97223953696
"295",2302.93835806494
"296",2302.90447659293
"297",2302.87059512091
"298",2302.8367136489
"299",2302.80283217688
"300",2302.76895070487
"301",2302.73506923285
"302",2302.53178040076
"303",2302.49789892875
"304",2302.46401745673
"305",2302.3962545127
"306",2302.26072862464
"307",2302.22684715263
"308",2302.19296568061
"309",2302.05743979255
"310",2301.98967684852
"311",2301.95579537651
"312",2301.78638801643
"313",2301.7186250724
"314",2301.68474360039
"315",2301.65086212837
"316",2301.61698065636
"317",2301.58309918434
"318",2301.54921771233
"319",2301.51533624031
"320",2301.4814547683
"321",2301.41369182427
"322",2301.37981035225
"323",2301.27816593621
"324",2301.24428446419
"325",2301.17652152016
"326",2301.14264004815
"327",2301.07487710412
"328",2300.97323268807
"329",2300.83801923162
"330",2300.73665253256
"331",2300.70286363287
"332",2300.63528583349
"333",2300.46634133506
"334",2300.39876353568
"335",2300.33118573631
"336",2300.26360793694
"337",2300.22981903725
"338",2300.0946634385
"339",2300.06087453881
"340",2300.02708563913
"341",2299.99329673944
"342",2299.95950783975
"343",2299.89193004038
"344",2299.85814114069
"345",2299.824352241
"346",2299.72298554194
"347",2299.68919664226
"348",2299.65540774257
"349",2299.48646324413
"350",2299.41888544476
"351",2299.38503868737
"352",2299.35115721535
"353",2299.28339427132
"354",2299.21563132729
"355",2299.08010543923
"356",2298.97846102319
"357",2298.94457955117
"358",2298.91069807916
"359",2298.87681660714
"360",2298.80905366311
"361",2298.67352777505
"362",2298.60576483102
"363",2298.53800188699
"364",2298.47023894296
"365",2298.43635747095
"366",2298.40247599893
"367",2298.36859452692
"368",2298.3347130549
"369",2298.30083158289
"370",2298.26695011087
"371",2298.23306863886
"372",2298.19918716684
"373",2298.0975427508
"374",2298.06366127878
